Date : 2026-04-09 04:31:30
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 422 files,  55827 codes, 1189 comments, 4111 blanks, all 61127 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.spec.ts                             | TypeScript         |         55 |          0 |         20 |         75 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.ts                                  | TypeScript         |         31 |          0 |          9 |         40 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.controller.ts                                     | TypeScript         |         57 |          0 |          7 |         64 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.module.ts                                         | TypeScript         |         18 |          0 |          2 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.service.ts                                        | TypeScript         |        123 |         10 |         19 |        152 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\add-cart-item.dto.ts                               | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\cart-response.dto.ts                               | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\dto\update-cart-item.dto.ts                            | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\entity\cart-item.entity.ts                             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\entity\cart.entity.ts                                  | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.controller.spec.ts                        | TypeScript         |        114 |          1 |         30 |        145 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.controller.ts                             | TypeScript         |         58 |          2 |          9 |         69 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.module.ts                                 | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.spec.ts                           | TypeScript         |        202 |         11 |         52 |        265 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.ts                                | TypeScript         |        138 |         37 |         32 |        207 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\create-category.dto.ts                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\update-category.dto.ts                         | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\update-visibility.dto.ts                       | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\entity\category.entity.ts                          | TypeScript         |         28 |          0 |         11 |         39 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.controller.ts                                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.module.ts                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.service.ts                                    | TypeScript         |        409 |         54 |         57 |        520 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\const\env-keys.const.ts                              | TypeScript         |          2 |          0 |          0 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\dto\paginate.dto.ts                                  | TypeScript         |         90 |         32 |         23 |        145 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\entity\base.entity.ts                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\interceptors\serialize.interceptor.ts                | TypeScript         |         39 |          6 |          6 |         51 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\category.seed.ts                               | TypeScript         |        126 |          0 |          9 |        135 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\product.seed.ts                                | TypeScript         |         56 |          2 |          8 |         66 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\roles.seed.ts                                  | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\utils\with-retry.ts                                  | TypeScript         |         47 |         10 |         10 |         67 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\beauty-products.ts                                     | TypeScript         |         23 |          0 |          1 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\book-products.ts                                       | TypeScript         |         25 |          0 |          1 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\clothing-products.ts                                   | TypeScript         |         26 |          0 |          1 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\food-products.ts                                       | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\living-products.ts                                     | TypeScript         |         27 |          0 |          1 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\shoes-products.ts                                      | TypeScript         |         23 |          0 |          1 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\dto\answer-inquiry.dto.ts                           | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\dto\create-inquiry.dto.ts                           | TypeScript         |         13 |          0 |          5 |         18 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\dto\inquiry-response.dto.ts                         | TypeScript         |         31 |          0 |         13 |         44 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\entity\inquiry.entity.ts                            | TypeScript         |         46 |          0 |         14 |         60 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.controller.ts                               | TypeScript         |         91 |          3 |         11 |        105 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.module.ts                                   | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.service.ts                                  | TypeScript         |        128 |          4 |         28 |        160 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email-template.service.ts        | TypeScript         |        242 |          0 |          8 |        250 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email.module.ts                  | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email.service.ts                 | TypeScript         |         46 |          0 |          8 |         54 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\interfaces\email.interface.ts    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\providers\smtp-email.provider.ts | TypeScript         |         49 |          0 |          6 |         55 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\redis\redis.module.ts                        | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\redis\redis.service.ts                       | TypeScript         |        132 |          9 |         33 |        174 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\main.ts                                                     | TypeScript         |         61 |          7 |         11 |         79 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\create-order.dto.ts                               | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\order-query.dto.ts                                | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\order-response.dto.ts                             | TypeScript         |         62 |          0 |          8 |         70 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\ship-order.dto.ts                                 | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order-item.entity.ts                           | TypeScript         |         25 |          1 |         11 |         37 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order.entity.ts                                | TypeScript         |         56 |          5 |         20 |         81 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\shipment.entity.ts                             | TypeScript         |         48 |          0 |         11 |         59 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\events\order.events.ts                                | TypeScript         |         25 |          0 |          3 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\events\shipment.events.ts                             | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\listeners\order-event.listener.ts                     | TypeScript         |         98 |          8 |         16 |        122 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.controller.ts                                   | TypeScript         |        103 |          3 |         14 |        120 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.module.ts                                       | TypeScript         |         37 |          0 |          2 |         39 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.service.ts                                      | TypeScript         |        549 |         54 |        113 |        716 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\cancel-payment.dto.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\payment-response.dto.ts                         | TypeScript         |         18 |          0 |          2 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\verify-payment.dto.ts                           | TypeScript         |          9 |          2 |          3 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\webhook-payment.dto.ts                          | TypeScript         |         19 |         10 |          5 |         34 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\entity\payment.entity.ts                            | TypeScript         |         44 |          2 |         16 |         62 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.controller.ts                               | TypeScript         |         66 |          2 |          8 |         76 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.module.ts                                   | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.service.ts                                  | TypeScript         |        387 |         46 |         69 |        502 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\create-product.dto.ts                           | TypeScript         |         49 |          0 |         10 |         59 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\paginate-product.dto.ts                         | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-query.dto.ts                            | TypeScript         |         34 |          5 |          7 |         46 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-response.dto.ts                         | TypeScript         |         57 |          0 |         10 |         67 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\reject-product.dto.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\update-product.dto.ts                           | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\beauty\beauty.entity.ts                      | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\book\book.entity.ts                          | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\clothing\clothing.entity.ts                  | TypeScript         |         33 |          0 |          8 |         41 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\food\food.entity.ts                          | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\living-product\living-product.entity.ts      | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\product-image.entity.ts                      | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\product.entity.ts                            | TypeScript         |        111 |          3 |         31 |        145 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\shoes\shoes.entity.ts                        | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\tag.entity.ts                                | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\events\product.events.ts                            | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\interfaces\product-search.interface.ts              | TypeScript         |         38 |          2 |          7 |         47 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\listeners\product-event.listener.ts                 | TypeScript         |         40 |          0 |          7 |         47 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product-search.service.ts                           | TypeScript         |        253 |         35 |         49 |        337 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.controller.spec.ts                          | TypeScript         |        163 |          0 |         38 |        201 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.controller.ts                               | TypeScript         |        138 |          5 |         14 |        157 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.module.ts                                   | TypeScript         |         54 |          0 |          2 |         56 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.spec.ts                             | TypeScript         |        432 |         16 |        122 |        570 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.ts                                  | TypeScript         |        324 |         27 |         51 |        402 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\create-review.dto.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\review-response.dto.ts                           | TypeScript         |         25 |          0 |         10 |         35 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\update-review.dto.ts                             | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\entity\review.entity.ts                              | TypeScript         |         28 |          0 |          9 |         37 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\events\review.events.ts                              | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\listeners\review-event.listener.ts                   | TypeScript         |         58 |          3 |          9 |         70 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.controller.spec.ts                            | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.controller.ts                                 | TypeScript         |         82 |          1 |          7 |         90 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.module.ts                                     | TypeScript         |         27 |          0 |          2 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.service.spec.ts                               | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.service.ts                                    | TypeScript         |        134 |          6 |         31 |        171 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\dto\apply-seller.dto.ts                              | TypeScript         |         31 |          0 |         10 |         41 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\dto\reject-seller.dto.ts                             | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\dto\seller-application-query.dto.ts                  | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\entity\seller.entity.ts                              | TypeScript         |         47 |          0 |         17 |         64 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.controller.ts                                 | TypeScript         |         54 |          5 |          7 |         66 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.integration.spec.ts                           | TypeScript         |        180 |         15 |         35 |        230 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.module.ts                                     | TypeScript         |         20 |          0 |          2 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.service.spec.ts                               | TypeScript         |        166 |          7 |         42 |        215 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.service.ts                                    | TypeScript         |        104 |          5 |         20 |        129 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\dto\settlement-query.dto.ts                      | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\dto\settlement-response.dto.ts                   | TypeScript         |         49 |          0 |         21 |         70 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\entity\settlement.entity.ts                      | TypeScript         |         46 |          4 |         14 |         64 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\events\settlement.events.ts                      | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\listeners\settlement-event.listener.ts           | TypeScript         |         78 |          2 |         15 |         95 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\settlement.controller.ts                         | TypeScript         |         61 |          2 |         10 |         73 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\settlement.module.ts                             | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\settlement.service.ts                            | TypeScript         |        125 |          3 |         29 |        157 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\change-password.dto.ts                             | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\update-profile.dto.ts                              | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\user-profile-response.dto.ts                       | TypeScript         |         23 |          0 |          9 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\entity\role.entity.ts                                  | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\entity\user.entity.ts                                  | TypeScript         |         31 |          0 |         10 |         41 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.controller.spec.ts                                | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.controller.ts                                     | TypeScript         |         37 |          0 |          5 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.module.ts                                         | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.service.spec.ts                                   | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.service.ts                                        | TypeScript         |         56 |          0 |         15 |         71 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\dto\toggle-wishlist.dto.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\dto\wishlist-response.dto.ts                      | TypeScript         |         23 |          0 |          9 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\entity\wishList.entity.ts                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.controller.spec.ts                      | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.controller.ts                           | TypeScript         |         44 |          0 |          5 |         49 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.module.ts                               | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.service.spec.ts                         | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.service.ts                              | TypeScript         |         78 |          0 |         15 |         93 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\tsconfig.app.json                                               | JSON               |         31 |          0 |          1 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\tsconfig.json                                                   | JSON with Comments |         19 |          0 |          1 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\tsconfig.spec.json                                              | JSON               |         20 |          0 |          1 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\watch-server.js                                                 | JavaScript         |         65 |          6 |         14 |         85 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\webpack.config.js                                               | JavaScript         |         23 |          0 |          2 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\claude-log.ps1                                                          | PowerShell         |         55 |         12 |         21 |         88 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\convert-logs-to-utf8.ps1                                                | PowerShell         |         26 |          5 |         11 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docker-compose.db-only.yaml                                             | YAML               |         25 |          2 |          4 |         31 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docker-compose.dev.yaml                                                 | YAML               |         72 |          4 |          6 |         82 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docker-compose.redis-only.yaml                                          | YAML               |         24 |          0 |          4 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docker-compose.yaml                                                     | YAML               |         90 |          4 |          5 |         99 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\CSP_SECURITY_GUIDE.md                                              | Markdown           |        177 |          1 |         48 |        226 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\ERRORS.md                                                          | Markdown           |         85 |          0 |          0 |         85 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\SECURITY_RECOMMENDATIONS.md                                        | Markdown           |        503 |          0 |        103 |        606 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\SOLUTION.md                                                        | Markdown           |         10 |          0 |          0 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\10. Integrate_pagination_logic_into_product_findAll_API.md    | Markdown           |        336 |          0 |         83 |        419 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\11. Identify_pagination_candidates_across_backend_APIs.md     | Markdown           |        175 |          0 |         51 |        226 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\12. Implement_Elasticsearch_search_functionality.md           | Markdown           |        410 |          0 |        140 |        550 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\13. Manage_login_state_across_browser_tabs.md                 | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\13_Manage_login_state_across_browser_tabs.md                  | Markdown           |        225 |          0 |         77 |        302 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\14. Implement_checkout_and_payment_flow_with_Portone.md       | Markdown           |        258 |          0 |        102 |        360 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\frontend-architecture.md.md                                        | Markdown           |        211 |          0 |         11 |        222 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\eslint.config.mjs                                                       | JavaScript         |         40 |          1 |          2 |         43 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\eslint.config.mjs                                              | JavaScript         |         20 |          0 |          2 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\index.d.ts                                                     | TypeScript         |          5 |          1 |          1 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\jest.config.ts                                                 | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\next-env.d.ts                                                  | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\next.config.js                                                 | JavaScript         |         95 |         13 |         13 |        121 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\package.json                                                   | JSON               |         13 |          0 |          1 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\postcss.config.js                                              | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\specs\index.spec.tsx                                           | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\check-email\page.tsx                            | TypeScript JSX     |         66 |          0 |         11 |         77 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\layout.tsx                                      | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\login\page.tsx                                  | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\register\page.tsx                               | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\verify-email\page.tsx                           | TypeScript JSX     |         65 |          0 |          9 |         74 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\audit-logs\page.tsx                       | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\categories\page.tsx                       | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\layout.tsx                                | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\orders\[orderNumber]\page.tsx             | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\orders\page.tsx                           | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\page.tsx                                  | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\products\page.tsx                         | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\sellers\page.tsx                          | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\settlements\page.tsx                      | TypeScript JSX     |          3 |          0 |          1 |          4 |
